Table#,"Science, Engineering & Technology (S.E.T.) Spring 2014 Employers",Majors Typically Hired,Full-Time,Part-Time,Internship,Co-Op,Positions in SC,Positions in *Southeast,Nationwide Positions,Day After Fair Interviews,Description,Website,Location,Tips,Email
1,ABB Inc.,"Electrical Engineering, Mechanical Engineering, Business",x,,x,,x,x,x,,Le ts see how  if this actually works for this test and yes im just typing randomly,anime.com,ponyLand,Don't do drugs,andrew@aol.com
2,ACS Technologies,,,,,,,,,,,,,,
3,Allied Air Enterprises,Mechanical Engineering,x,,x,,x,,,x,,,,,
4,American Specialty Health Incorporated,Engineering and Computing,,,x,,x,,,,,,,,
5,A. O. Smith Water Products Company,Engineering and Computing,,,x,,x,,,,,,,,
6,"Avtec, Inc.",Engineering and Computing,,,x,,x,,,,,,,,
7,AVX Corporation,"Chemical Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",x,,x,,x,,,,,,,,
8,Belden Inc.,"Electrical Engineering, Mechanical Engineering",x,,x,,x,x,x,,,,,,
9,Blackbaud Inc.,Engineering and Computing,x,,x,x,x,,x,x,,,,,
10,Blue Acorn,"Computer Science and Engineering, Business, Information Assurance and Security, Computer Information Systems, Information Management and Systems, Software Engineering, Visual Communications",x,,x,,x,,,,,,,,
11,BlueCross BlueShield of South Carolina,"Computer Engineering, Computer Information Systems, Computer Science, Information Management and Systems, Software Engineering",x,,,,x,,,,,,,,
12,"BMW Manufacturing Co., LLC","Business, Engineering, Computer Science",,,x,x,x,,,,,,,,
13,Boeing,"Computer Science, Computer Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering, Information Assurance and Security, Information Management and Systems",x,,,,x,x,x,x,,,,,
14,BoomTown,"Computer Engineering, Computer Information Systems, Computer Science, Computer Science and Engineering, Software Engineering",,,x,,x,,,,,,,,
15,"Celgard, LLC","Chemical Engineering, Electrical Engineering, Mechanical Engineering",,,,x,,x,,,,,,,
16,"CGI Technologies & Solutions, Inc.","Business, Engineering and Computing, Mathematics",x,,x,,,,x,,,,,,
17,Colonial Life,IT/Computing,x,,x,,x,x,x,,,,,,
18,CompuGroup Medical,"Computer Engineering, Computer Information Systems,  Computer Science, Software Engineering",x,,,,x,,,,,,,,
19,Continental Automotive Systems,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering, Software Engineering",x,,x,x,x,,x,,,,,,
